student_uid,Cantidad_Envios_error_AssertionError,Cantidad_Envios_error_AttributeError,Cantidad_Envios_error_EOFError,Cantidad_Envios_error_IndentationError,Cantidad_Envios_error_NameError,Cantidad_Envios_error_SyntaxError,Cantidad_Envios_error_TypeError
76,0,0,0,1,0,5,0
77,0,0,0,3,3,23,0
78,0,0,0,40,4,9,0
79,0,0,0,0,0,9,0
80,0,0,0,0,1,36,0
81,0,0,0,1,0,6,0
82,0,0,0,51,1,75,0
83,0,0,0,0,0,25,0
84,0,0,0,5,0,39,0
85,0,0,0,27,3,75,0
86,0,0,0,1,2,52,0
87,0,0,0,0,0,12,0
88,0,0,0,0,0,6,0
89,0,0,0,19,0,12,0
90,0,0,0,8,1,16,0
91,0,0,0,2,1,27,0
92,0,0,0,3,0,17,0
93,0,0,0,2,0,30,0
94,0,0,0,0,0,14,0
95,0,0,0,0,0,6,0
96,0,0,0,4,0,8,0
98,0,0,0,16,4,10,0
99,0,0,0,3,1,44,0
100,0,0,0,0,0,11,0
101,0,0,0,16,0,79,0
102,0,0,0,17,0,94,0
103,0,0,0,11,0,31,0
104,0,0,0,6,0,27,0
105,0,0,0,8,3,18,0
106,0,0,0,2,0,10,0
107,0,0,0,6,0,40,0
108,0,0,0,6,0,103,0
109,0,0,0,15,0,26,0
110,0,0,0,4,0,51,0
111,0,0,0,1,2,41,0
112,0,0,0,23,0,78,0
113,0,0,0,20,3,86,0
114,0,0,0,10,0,21,0
115,0,0,0,3,1,38,0
116,0,0,0,10,0,40,0
117,0,0,0,18,0,27,0
118,0,0,0,15,0,59,0
119,0,0,0,3,0,51,0
120,0,0,0,35,5,50,0
121,0,0,0,9,0,24,0
122,0,0,0,0,0,4,0
123,0,0,0,14,7,58,0
124,0,0,0,7,0,24,0
125,1,0,0,6,0,18,0
126,0,0,0,5,1,7,0
127,0,0,0,0,0,4,0
128,0,0,0,5,0,5,0
129,0,0,0,0,0,19,0
130,0,0,0,4,1,18,0
131,0,0,0,0,0,3,0
132,0,0,0,4,1,12,0
133,0,0,0,6,0,40,0
134,0,0,0,19,1,52,0
135,0,0,0,5,0,16,0
136,0,0,0,29,3,89,0
137,0,0,0,1,0,9,0
138,0,0,0,1,3,8,0
139,0,0,0,1,0,3,0
140,0,0,0,12,0,18,0
141,0,0,0,1,1,1,0
143,0,0,0,0,0,3,0
144,0,0,0,1,2,43,0
